Treatment,Set,First_Date,Last_Date,Duration,Died,Binom,Group
W,BBW15,5/25/19,6/1/19,7,YES,0,1
W,ACW9,5/25/19,6/8/19,14,NO,1,1
W,ACW2,5/25/19,6/11/19,17,YES,0,1
W,BBW14,5/23/19,6/13/19,21,YES,0,1
H,BBH2,5/23/19,6/14/19,22,YES,0,2
W,WR6,6/1/19,6/17/19,16,YES,0,1
H,ACH6,5/25/19,6/17/19,23,YES,0,2
W,BBW5,5/23/19,6/19/19,27,NO,1,1
H,ACH11,5/25/19,6/19/19,25,YES,0,2
W,ACW7,5/25/19,6/20/19,26,YES,0,1
H,ACH22,5/25/19,6/23/19,29,NO,1,2
W,ACW12,5/25/19,6/26/19,32,NO,1,1
W,BBW,5/23/19,6/26/19,34,YES,0,1
W,BBW2,5/25/19,6/28/19,34,YES,0,1
W,BBW8,5/23/19,6/28/19,36,YES,0,1
H,BBH12,5/23/19,6/28/19,36,YES,0,2
W,ACW3,5/26/19,7/2/19,37,YES,0,1
H,BBH1,5/23/19,7/2/19,40,YES,0,2
H,ACH9,5/25/19,7/3/19,39,YES,0,2
H,BBH4,5/25/19,7/5/19,41,YES,0,2
W,BBW6,5/23/19,7/6/19,44,NO,1,1
W,BBW31,6/20/19,7/6/19,16,YES,0,1
W,BBW32,6/20/19,7/6/19,16,YES,0,1
W,ACW10,5/25/19,7/9/19,45,NO,1,1
W,ACW13,5/25/19,7/9/19,45,NO,1,1
W,BBW11,5/23/19,7/9/19,47,NO,1,1
W,BBW12,5/25/19,7/9/19,45,NO,1,1
W,BBW30,6/20/19,7/9/19,19,YES,0,1
W,BBW34,6/19/19,7/9/19,20,NO,1,1
W,BBW35,6/19/19,7/9/19,20,YES,0,1
W,WR2,5/26/19,7/9/19,44,NO,1,1
W,WR3,5/26/19,7/9/19,44,NO,1,1
W,WR4,5/27/19,7/9/19,43,NO,1,1
W,WR5,6/1/19,7/9/19,38,YES,0,1
H,ACH2,5/25/19,7/9/19,45,NO,1,2
H,ACH7,5/25/19,7/9/19,45,NO,1,2
H,ACH10,5/25/19,7/9/19,45,NO,1,2
H,ACH30,6/22/19,7/9/19,17,NO,1,2
H,ACH31,6/22/19,7/9/19,17,NO,1,2
H,BBH3,5/23/19,7/9/19,47,YES,0,2
H,BBH7,5/25/19,7/9/19,45,NO,1,2
H,BBH8,5/23/19,7/9/19,47,NO,1,2
H,BBH10,5/23/19,7/9/19,47,YES,0,2
H,BBH11,5/23/19,7/9/19,47,NO,1,2
H,BBH13,5/25/19,7/9/19,45,NO,1,2
H,BBH15,5/25/19,7/9/19,45,NO,1,2
H,BBH32,6/22/19,7/9/19,17,NO,1,2
H,BBH33,6/19/19,7/9/19,20,NO,1,2
H,BBH34,6/22/19,7/9/19,17,NO,1,2
H,BBH35,6/19/19,7/9/19,20,NO,1,2
H,BBH36,6/19/19,7/9/19,20,NO,1,2
H,BBH37,6/22/19,7/9/19,17,NO,1,2
H,BBH,5/25/19,7/9/19,45,NO,1,2