"mat","site","date","min","sec","duration","depth","bicolor_ind","stripe","princess","redband","seaslug_ind","r_bi","r_yel","r_tstripe","r_iprince","r_qu","r_surgeon","r_tang","r_spot","r_ired","r_rock","r_french","r_tprince","r_tred","total.bites","total_excluding_damsel","st_dev_calc","st_dev","species","freq"
7,"Invisibles","14-Jul",28,42,1722,13.7,3,3,1,0,0,0.522648083623693,0.174216027874564,0.104529616724739,0.0348432055749129,0,0,0.940766550522648,0,0,0,1.70731707317073,0.104529616724739,0,103,88,87,NA,"ip_redband",0
8,"Invisibles","14-Jul",33,44,2024,13.5,3,14,12,11,0,0.0296442687747036,0.207509881422925,0.41501976284585,0.326086956521739,0,0,0.207509881422925,0.148221343873518,0,0.266798418972332,0,0,0.0296442687747036,57,56,81,NA,"ip_redband",9
9,"Bachelor","16-Jul",28,1,1681,13.2,1,0,0,0,0,5.10410469958358,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,NA,"ip_redband",0
10,"Bachelor","16-Jul",29,35,1775,13.6,3,9,79,27,0,4.19154929577465,0,0,2.67042253521127,0.304225352112676,0.338028169014085,0,0,0,0.87887323943662,0,0,0,249,125,6,NA,"ip_redband",26
11,"Aquarius","17-Jul",25,12,1512,17.3,1,0,3,0,0,0,0.119047619047619,0,0.119047619047619,0,0,0,0,0,0,0,0,0,6,6,8,NA,"ip_redband",0
12,"Aquarius","17-Jul",29,46,1786,15.6,2,0,4,0,0,0.0671892497200448,0,0,0.13437849944009,0,0,0,0,0,0,0,0,0,6,4,10,NA,"ip_redband",0
13,"Aquarius","17-Jul",26,44,1604,14.9,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0374064837905237,0,0,0,5,5,0,NA,"ip_redband",1
14,"Aquarius","17-Jul",28,24,1704,16.1,0,0,0,0,0,0,0,0,0,0,0,0,2.67605633802817,0,0,0,0,0,76,76,0,NA,"ip_redband",0
15,"Aquarius","17-Jul",30,47,1847,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,"ip_redband",0
16,"Aquarius","17-Jul",28,1,1681,15.9,1,9,0,0,0,0.49970255800119,0,0.321237358715051,0,0,0,0,0,0,0,0,0,0,23,9,10,NA,"ip_redband",0
17,"Aquarius","17-Jul",26,26,1586,13.4,1,0,5,0,0,0,0,0,0.189155107187894,0,0,0,0,0,0,0,0,0,5,5,36,NA,"ip_redband",0
18,"Angel City","16-Jul",32,12,1932,13.9,3,16,2,0,0,2.20496894409938,0,0.15527950310559,0.062111801242236,0.341614906832298,0,0,0,0.062111801242236,0,0,0,0,91,20,18,NA,"ip_redband",0
19,"Angel City","16-Jul",28,1,1681,17,3,9,0,0,0,1.46341463414634,0.142772159428911,0.321237358715051,0,0,0,0,0,0,0,0,0,0,54,13,22,NA,"ip_redband",0
20,"Angel City","15-Jul",26,5,1565,15,2,363,60,5,0,0.613418530351438,1.84025559105431,4.1405750798722,0,9.77635782747604,0,0,0.0766773162939297,0,0.191693290734824,0,0,2.30031948881789,494,478,1,NA,"ip_redband",5
21,"Angel City","14-Jul",28,1,1681,14.3,2,7,4,0,1,0.928019036287924,0,0,0.142772159428911,0.249851279000595,0,0,0,0,0,0,0,0,37,11,NA,NA,"ip_redband",0
22,"Angel City","12-Jul",6,16,376,NA,2,0,0,0,0,6.06382978723404,0,0,0,0,0.159574468085106,0,0,0,0,0,0,0,39,1,NA,NA,"ip_redband",0
1,"The Lake","15-Jul",28,1,1681,14.9,0,8,3,0,0,0,0,0.285544318857823,0.107079119571684,0,0,0,0,0,0,0,0,0,11,11,22,28.9018302097581,"rock",0
2,"The Lake","15-Jul",6,21,381,16.8,0,23,0,0,0,0,0,0,0,3.62204724409449,2.36220472440945,2.36220472440945,0,0,0,0,0,0,53,53,76,NA,"rock",0
3,"The Lake","15-Jul",10,24,624,14.3,1,0,0,0,0,0,0,0,0,0,0.0961538461538461,0,0,0,0,0,0,0,1,1,1,NA,"rock",0
4,"The Lake","15-Jul",44,55,2695,NA,2,0,25,0,0,1.35807050092764,0,0,0.556586270871985,0,0,0.222634508348794,0.178107606679035,0.0890538033395176,0,0,0,0,108,47,60,NA,"rock",0
5,"Invisibles","14-Jul",18,48,1128,NA,1,0,0,0,0,0.904255319148936,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,NA,"rock",0
6,"Invisibles","14-Jul",28,1,1681,NA,1,5,0,2,0,0.142772159428911,0,0.178465199286139,0,0,0,0,0.464009518143962,0,0.0713860797144557,0,0,0,24,20,14,NA,"rock",0
7,"Invisibles","14-Jul",28,42,1722,13.7,3,3,1,0,0,0.522648083623693,0.174216027874564,0.104529616724739,0.0348432055749129,0,0,0.940766550522648,0,0,0,1.70731707317073,0.104529616724739,0,103,88,87,NA,"rock",49
8,"Invisibles","14-Jul",33,44,2024,13.5,3,14,12,11,0,0.0296442687747036,0.207509881422925,0.41501976284585,0.326086956521739,0,0,0.207509881422925,0.148221343873518,0,0.266798418972332,0,0,0.0296442687747036,57,56,81,NA,"rock",0
9,"Bachelor","16-Jul",28,1,1681,13.2,1,0,0,0,0,5.10410469958358,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,NA,"rock",0
10,"Bachelor","16-Jul",29,35,1775,13.6,3,9,79,27,0,4.19154929577465,0,0,2.67042253521127,0.304225352112676,0.338028169014085,0,0,0,0.87887323943662,0,0,0,249,125,6,NA,"rock",0
11,"Aquarius","17-Jul",25,12,1512,17.3,1,0,3,0,0,0,0.119047619047619,0,0.119047619047619,0,0,0,0,0,0,0,0,0,6,6,8,NA,"rock",0
12,"Aquarius","17-Jul",29,46,1786,15.6,2,0,4,0,0,0.0671892497200448,0,0,0.13437849944009,0,0,0,0,0,0,0,0,0,6,4,10,NA,"rock",0
13,"Aquarius","17-Jul",26,44,1604,14.9,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0374064837905237,0,0,0,5,5,0,NA,"rock",0
14,"Aquarius","17-Jul",28,24,1704,16.1,0,0,0,0,0,0,0,0,0,0,0,0,2.67605633802817,0,0,0,0,0,76,76,0,NA,"rock",0
15,"Aquarius","17-Jul",30,47,1847,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,"rock",0
16,"Aquarius","17-Jul",28,1,1681,15.9,1,9,0,0,0,0.49970255800119,0,0.321237358715051,0,0,0,0,0,0,0,0,0,0,23,9,10,NA,"rock",0
17,"Aquarius","17-Jul",26,26,1586,13.4,1,0,5,0,0,0,0,0,0.189155107187894,0,0,0,0,0,0,0,0,0,5,5,36,NA,"rock",0
18,"Angel City","16-Jul",32,12,1932,13.9,3,16,2,0,0,2.20496894409938,0,0.15527950310559,0.062111801242236,0.341614906832298,0,0,0,0.062111801242236,0,0,0,0,91,20,18,NA,"rock",0
19,"Angel City","16-Jul",28,1,1681,17,3,9,0,0,0,1.46341463414634,0.142772159428911,0.321237358715051,0,0,0,0,0,0,0,0,0,0,54,13,22,NA,"rock",0
20,"Angel City","15-Jul",26,5,1565,15,2,363,60,5,0,0.613418530351438,1.84025559105431,4.1405750798722,0,9.77635782747604,0,0,0.0766773162939297,0,0.191693290734824,0,0,2.30031948881789,494,478,1,NA,"rock",0
21,"Angel City","14-Jul",28,1,1681,14.3,2,7,4,0,1,0.928019036287924,0,0,0.142772159428911,0.249851279000595,0,0,0,0,0,0,0,0,37,11,NA,NA,"rock",0
22,"Angel City","12-Jul",6,16,376,NA,2,0,0,0,0,6.06382978723404,0,0,0,0,0.159574468085106,0,0,0,0,0,0,0,39,1,NA,NA,"rock",0
1,"The Lake","15-Jul",28,1,1681,14.9,0,8,3,0,0,0,0,0.285544318857823,0.107079119571684,0,0,0,0,0,0,0,0,0,11,11,22,28.9018302097581,"french",0
2,"The Lake","15-Jul",6,21,381,16.8,0,23,0,0,0,0,0,0,0,3.62204724409449,2.36220472440945,2.36220472440945,0,0,0,0,0,0,53,53,76,NA,"french",0
3,"The Lake","15-Jul",10,24,624,14.3,1,0,0,0,0,0,0,0,0,0,0.0961538461538461,0,0,0,0,0,0,0,1,1,1,NA,"french",0
4,"The Lake","15-Jul",44,55,2695,NA,2,0,25,0,0,1.35807050092764,0,0,0.556586270871985,0,0,0.222634508348794,0.178107606679035,0.0890538033395176,0,0,0,0,108,47,60,NA,"french",0
5,"Invisibles","14-Jul",18,48,1128,NA,1,0,0,0,0,0.904255319148936,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,NA,"french",0
6,"Invisibles","14-Jul",28,1,1681,NA,1,5,0,2,0,0.142772159428911,0,0.178465199286139,0,0,0,0,0.464009518143962,0,0.0713860797144557,0,0,0,24,20,14,NA,"french",0
7,"Invisibles","14-Jul",28,42,1722,13.7,3,3,1,0,0,0.522648083623693,0.174216027874564,0.104529616724739,0.0348432055749129,0,0,0.940766550522648,0,0,0,1.70731707317073,0.104529616724739,0,103,88,87,NA,"french",3
8,"Invisibles","14-Jul",33,44,2024,13.5,3,14,12,11,0,0.0296442687747036,0.207509881422925,0.41501976284585,0.326086956521739,0,0,0.207509881422925,0.148221343873518,0,0.266798418972332,0,0,0.0296442687747036,57,56,81,NA,"french",0
9,"Bachelor","16-Jul",28,1,1681,13.2,1,0,0,0,0,5.10410469958358,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,NA,"french",0
10,"Bachelor","16-Jul",29,35,1775,13.6,3,9,79,27,0,4.19154929577465,0,0,2.67042253521127,0.304225352112676,0.338028169014085,0,0,0,0.87887323943662,0,0,0,249,125,6,NA,"french",0
11,"Aquarius","17-Jul",25,12,1512,17.3,1,0,3,0,0,0,0.119047619047619,0,0.119047619047619,0,0,0,0,0,0,0,0,0,6,6,8,NA,"french",0
12,"Aquarius","17-Jul",29,46,1786,15.6,2,0,4,0,0,0.0671892497200448,0,0,0.13437849944009,0,0,0,0,0,0,0,0,0,6,4,10,NA,"french",0
13,"Aquarius","17-Jul",26,44,1604,14.9,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0374064837905237,0,0,0,5,5,0,NA,"french",0
14,"Aquarius","17-Jul",28,24,1704,16.1,0,0,0,0,0,0,0,0,0,0,0,0,2.67605633802817,0,0,0,0,0,76,76,0,NA,"french",0
15,"Aquarius","17-Jul",30,47,1847,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,"french",0
16,"Aquarius","17-Jul",28,1,1681,15.9,1,9,0,0,0,0.49970255800119,0,0.321237358715051,0,0,0,0,0,0,0,0,0,0,23,9,10,NA,"french",0
17,"Aquarius","17-Jul",26,26,1586,13.4,1,0,5,0,0,0,0,0,0.189155107187894,0,0,0,0,0,0,0,0,0,5,5,36,NA,"french",0
18,"Angel City","16-Jul",32,12,1932,13.9,3,16,2,0,0,2.20496894409938,0,0.15527950310559,0.062111801242236,0.341614906832298,0,0,0,0.062111801242236,0,0,0,0,91,20,18,NA,"french",0
19,"Angel City","16-Jul",28,1,1681,17,3,9,0,0,0,1.46341463414634,0.142772159428911,0.321237358715051,0,0,0,0,0,0,0,0,0,0,54,13,22,NA,"french",0
20,"Angel City","15-Jul",26,5,1565,15,2,363,60,5,0,0.613418530351438,1.84025559105431,4.1405750798722,0,9.77635782747604,0,0,0.0766773162939297,0,0.191693290734824,0,0,2.30031948881789,494,478,1,NA,"french",0
21,"Angel City","14-Jul",28,1,1681,14.3,2,7,4,0,1,0.928019036287924,0,0,0.142772159428911,0.249851279000595,0,0,0,0,0,0,0,0,37,11,NA,NA,"french",0
22,"Angel City","12-Jul",6,16,376,NA,2,0,0,0,0,6.06382978723404,0,0,0,0,0.159574468085106,0,0,0,0,0,0,0,39,1,NA,NA,"french",0
1,"The Lake","15-Jul",28,1,1681,14.9,0,8,3,0,0,0,0,0.285544318857823,0.107079119571684,0,0,0,0,0,0,0,0,0,11,11,22,28.9018302097581,"tp_princess",0
2,"The Lake","15-Jul",6,21,381,16.8,0,23,0,0,0,0,0,0,0,3.62204724409449,2.36220472440945,2.36220472440945,0,0,0,0,0,0,53,53,76,NA,"tp_princess",0
3,"The Lake","15-Jul",10,24,624,14.3,1,0,0,0,0,0,0,0,0,0,0.0961538461538461,0,0,0,0,0,0,0,1,1,1,NA,"tp_princess",0
4,"The Lake","15-Jul",44,55,2695,NA,2,0,25,0,0,1.35807050092764,0,0,0.556586270871985,0,0,0.222634508348794,0.178107606679035,0.0890538033395176,0,0,0,0,108,47,60,NA,"tp_princess",0
5,"Invisibles","14-Jul",18,48,1128,NA,1,0,0,0,0,0.904255319148936,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,NA,"tp_princess",0
6,"Invisibles","14-Jul",28,1,1681,NA,1,5,0,2,0,0.142772159428911,0,0.178465199286139,0,0,0,0,0.464009518143962,0,0.0713860797144557,0,0,0,24,20,14,NA,"tp_princess",0
7,"Invisibles","14-Jul",28,42,1722,13.7,3,3,1,0,0,0.522648083623693,0.174216027874564,0.104529616724739,0.0348432055749129,0,0,0.940766550522648,0,0,0,1.70731707317073,0.104529616724739,0,103,88,87,NA,"tp_princess",0
8,"Invisibles","14-Jul",33,44,2024,13.5,3,14,12,11,0,0.0296442687747036,0.207509881422925,0.41501976284585,0.326086956521739,0,0,0.207509881422925,0.148221343873518,0,0.266798418972332,0,0,0.0296442687747036,57,56,81,NA,"tp_princess",1
9,"Bachelor","16-Jul",28,1,1681,13.2,1,0,0,0,0,5.10410469958358,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,NA,"tp_princess",0
10,"Bachelor","16-Jul",29,35,1775,13.6,3,9,79,27,0,4.19154929577465,0,0,2.67042253521127,0.304225352112676,0.338028169014085,0,0,0,0.87887323943662,0,0,0,249,125,6,NA,"tp_princess",0
11,"Aquarius","17-Jul",25,12,1512,17.3,1,0,3,0,0,0,0.119047619047619,0,0.119047619047619,0,0,0,0,0,0,0,0,0,6,6,8,NA,"tp_princess",0
12,"Aquarius","17-Jul",29,46,1786,15.6,2,0,4,0,0,0.0671892497200448,0,0,0.13437849944009,0,0,0,0,0,0,0,0,0,6,4,10,NA,"tp_princess",0
13,"Aquarius","17-Jul",26,44,1604,14.9,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0374064837905237,0,0,0,5,5,0,NA,"tp_princess",0
14,"Aquarius","17-Jul",28,24,1704,16.1,0,0,0,0,0,0,0,0,0,0,0,0,2.67605633802817,0,0,0,0,0,76,76,0,NA,"tp_princess",0
15,"Aquarius","17-Jul",30,47,1847,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,"tp_princess",0
16,"Aquarius","17-Jul",28,1,1681,15.9,1,9,0,0,0,0.49970255800119,0,0.321237358715051,0,0,0,0,0,0,0,0,0,0,23,9,10,NA,"tp_princess",0
17,"Aquarius","17-Jul",26,26,1586,13.4,1,0,5,0,0,0,0,0,0.189155107187894,0,0,0,0,0,0,0,0,0,5,5,36,NA,"tp_princess",0
18,"Angel City","16-Jul",32,12,1932,13.9,3,16,2,0,0,2.20496894409938,0,0.15527950310559,0.062111801242236,0.341614906832298,0,0,0,0.062111801242236,0,0,0,0,91,20,18,NA,"tp_princess",0
19,"Angel City","16-Jul",28,1,1681,17,3,9,0,0,0,1.46341463414634,0.142772159428911,0.321237358715051,0,0,0,0,0,0,0,0,0,0,54,13,22,NA,"tp_princess",0
20,"Angel City","15-Jul",26,5,1565,15,2,363,60,5,0,0.613418530351438,1.84025559105431,4.1405750798722,0,9.77635782747604,0,0,0.0766773162939297,0,0.191693290734824,0,0,2.30031948881789,494,478,1,NA,"tp_princess",60
21,"Angel City","14-Jul",28,1,1681,14.3,2,7,4,0,1,0.928019036287924,0,0,0.142772159428911,0.249851279000595,0,0,0,0,0,0,0,0,37,11,NA,NA,"tp_princess",0
22,"Angel City","12-Jul",6,16,376,NA,2,0,0,0,0,6.06382978723404,0,0,0,0,0.159574468085106,0,0,0,0,0,0,0,39,1,NA,NA,"tp_princess",0
1,"The Lake","15-Jul",28,1,1681,14.9,0,8,3,0,0,0,0,0.285544318857823,0.107079119571684,0,0,0,0,0,0,0,0,0,11,11,22,28.9018302097581,"tp_redband",0
2,"The Lake","15-Jul",6,21,381,16.8,0,23,0,0,0,0,0,0,0,3.62204724409449,2.36220472440945,2.36220472440945,0,0,0,0,0,0,53,53,76,NA,"tp_redband",0
3,"The Lake","15-Jul",10,24,624,14.3,1,0,0,0,0,0,0,0,0,0,0.0961538461538461,0,0,0,0,0,0,0,1,1,1,NA,"tp_redband",0
4,"The Lake","15-Jul",44,55,2695,NA,2,0,25,0,0,1.35807050092764,0,0,0.556586270871985,0,0,0.222634508348794,0.178107606679035,0.0890538033395176,0,0,0,0,108,47,60,NA,"tp_redband",0
5,"Invisibles","14-Jul",18,48,1128,NA,1,0,0,0,0,0.904255319148936,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,NA,"tp_redband",0
6,"Invisibles","14-Jul",28,1,1681,NA,1,5,0,2,0,0.142772159428911,0,0.178465199286139,0,0,0,0,0.464009518143962,0,0.0713860797144557,0,0,0,24,20,14,NA,"tp_redband",0
7,"Invisibles","14-Jul",28,42,1722,13.7,3,3,1,0,0,0.522648083623693,0.174216027874564,0.104529616724739,0.0348432055749129,0,0,0.940766550522648,0,0,0,1.70731707317073,0.104529616724739,0,103,88,87,NA,"tp_redband",0
8,"Invisibles","14-Jul",33,44,2024,13.5,3,14,12,11,0,0.0296442687747036,0.207509881422925,0.41501976284585,0.326086956521739,0,0,0.207509881422925,0.148221343873518,0,0.266798418972332,0,0,0.0296442687747036,57,56,81,NA,"tp_redband",2
9,"Bachelor","16-Jul",28,1,1681,13.2,1,0,0,0,0,5.10410469958358,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,NA,"tp_redband",0
10,"Bachelor","16-Jul",29,35,1775,13.6,3,9,79,27,0,4.19154929577465,0,0,2.67042253521127,0.304225352112676,0.338028169014085,0,0,0,0.87887323943662,0,0,0,249,125,6,NA,"tp_redband",1
11,"Aquarius","17-Jul",25,12,1512,17.3,1,0,3,0,0,0,0.119047619047619,0,0.119047619047619,0,0,0,0,0,0,0,0,0,6,6,8,NA,"tp_redband",0
12,"Aquarius","17-Jul",29,46,1786,15.6,2,0,4,0,0,0.0671892497200448,0,0,0.13437849944009,0,0,0,0,0,0,0,0,0,6,4,10,NA,"tp_redband",0
13,"Aquarius","17-Jul",26,44,1604,14.9,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0374064837905237,0,0,0,5,5,0,NA,"tp_redband",4
14,"Aquarius","17-Jul",28,24,1704,16.1,0,0,0,0,0,0,0,0,0,0,0,0,2.67605633802817,0,0,0,0,0,76,76,0,NA,"tp_redband",0
15,"Aquarius","17-Jul",30,47,1847,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,"tp_redband",0
16,"Aquarius","17-Jul",28,1,1681,15.9,1,9,0,0,0,0.49970255800119,0,0.321237358715051,0,0,0,0,0,0,0,0,0,0,23,9,10,NA,"tp_redband",0
17,"Aquarius","17-Jul",26,26,1586,13.4,1,0,5,0,0,0,0,0,0.189155107187894,0,0,0,0,0,0,0,0,0,5,5,36,NA,"tp_redband",0
18,"Angel City","16-Jul",32,12,1932,13.9,3,16,2,0,0,2.20496894409938,0,0.15527950310559,0.062111801242236,0.341614906832298,0,0,0,0.062111801242236,0,0,0,0,91,20,18,NA,"tp_redband",0
19,"Angel City","16-Jul",28,1,1681,17,3,9,0,0,0,1.46341463414634,0.142772159428911,0.321237358715051,0,0,0,0,0,0,0,0,0,0,54,13,22,NA,"tp_redband",0
20,"Angel City","15-Jul",26,5,1565,15,2,363,60,5,0,0.613418530351438,1.84025559105431,4.1405750798722,0,9.77635782747604,0,0,0.0766773162939297,0,0.191693290734824,0,0,2.30031948881789,494,478,1,NA,"tp_redband",0
21,"Angel City","14-Jul",28,1,1681,14.3,2,7,4,0,1,0.928019036287924,0,0,0.142772159428911,0.249851279000595,0,0,0,0,0,0,0,0,37,11,NA,NA,"tp_redband",0
22,"Angel City","12-Jul",6,16,376,NA,2,0,0,0,0,6.06382978723404,0,0,0,0,0.159574468085106,0,0,0,0,0,0,0,39,1,NA,NA,"tp_redband",0
